full_date,day,day_name,day_of_week,week_of_year,month,month_name,quarter,year,is_weekend
28-08-2023,28,Monday,1,35,8,August,3,2023,N
29-08-2023,29,Tuesday,2,35,8,August,3,2023,N
30-08-2023,30,Wednesday,3,35,8,August,3,2023,N
31-08-2023,31,Thursday,4,35,8,August,3,2023,N
01-09-2023,1,Friday,5,35,9,September,3,2023,N
02-09-2023,2,Saturday,6,35,9,September,3,2023,Y
03-09-2023,3,Sunday,7,35,9,September,3,2023,Y
04-09-2023,4,Monday,1,36,9,September,3,2023,N
05-09-2023,5,Tuesday,2,36,9,September,3,2023,N
06-09-2023,6,Wednesday,3,36,9,September,3,2023,N
07-09-2023,7,Thursday,4,36,9,September,3,2023,N
08-09-2023,8,Friday,5,36,9,September,3,2023,N
09-09-2023,9,Saturday,6,36,9,September,3,2023,Y
10-09-2023,10,Sunday,7,36,9,September,3,2023,Y
11-09-2023,11,Monday,1,37,9,September,3,2023,N
12-09-2023,12,Tuesday,2,37,9,September,3,2023,N
13-09-2023,13,Wednesday,3,37,9,September,3,2023,N
14-09-2023,14,Thursday,4,37,9,September,3,2023,N
15-09-2023,15,Friday,5,37,9,September,3,2023,N
16-09-2023,16,Saturday,6,37,9,September,3,2023,Y
17-09-2023,17,Sunday,7,37,9,September,3,2023,Y
18-09-2023,18,Monday,1,38,9,September,3,2023,N
19-09-2023,19,Tuesday,2,38,9,September,3,2023,N
20-09-2023,20,Wednesday,3,38,9,September,3,2023,N
21-09-2023,21,Thursday,4,38,9,September,3,2023,N
22-09-2023,22,Friday,5,38,9,September,3,2023,N
23-09-2023,23,Saturday,6,38,9,September,3,2023,Y
24-09-2023,24,Sunday,7,38,9,September,3,2023,Y
25-09-2023,25,Monday,1,39,9,September,3,2023,N
26-09-2023,26,Tuesday,2,39,9,September,3,2023,N
27-09-2023,27,Wednesday,3,39,9,September,3,2023,N
28-09-2023,28,Thursday,4,39,9,September,3,2023,N
29-09-2023,29,Friday,5,39,9,September,3,2023,N
30-09-2023,30,Saturday,6,39,9,September,3,2023,Y
01-10-2023,1,Sunday,7,39,10,October,4,2023,Y
02-10-2023,2,Monday,1,40,10,October,4,2023,N
03-10-2023,3,Tuesday,2,40,10,October,4,2023,N
04-10-2023,4,Wednesday,3,40,10,October,4,2023,N
05-10-2023,5,Thursday,4,40,10,October,4,2023,N
06-10-2023,6,Friday,5,40,10,October,4,2023,N
07-10-2023,7,Saturday,6,40,10,October,4,2023,Y
08-10-2023,8,Sunday,7,40,10,October,4,2023,Y
09-10-2023,9,Monday,1,41,10,October,4,2023,N
10-10-2023,10,Tuesday,2,41,10,October,4,2023,N
11-10-2023,11,Wednesday,3,41,10,October,4,2023,N
12-10-2023,12,Thursday,4,41,10,October,4,2023,N
13-10-2023,13,Friday,5,41,10,October,4,2023,N
14-10-2023,14,Saturday,6,41,10,October,4,2023,Y
15-10-2023,15,Sunday,7,41,10,October,4,2023,Y
16-10-2023,16,Monday,1,42,10,October,4,2023,N
17-10-2023,17,Tuesday,2,42,10,October,4,2023,N
18-10-2023,18,Wednesday,3,42,10,October,4,2023,N
19-10-2023,19,Thursday,4,42,10,October,4,2023,N
20-10-2023,20,Friday,5,42,10,October,4,2023,N
21-10-2023,21,Saturday,6,42,10,October,4,2023,Y
22-10-2023,22,Sunday,7,42,10,October,4,2023,Y
23-10-2023,23,Monday,1,43,10,October,4,2023,N
24-10-2023,24,Tuesday,2,43,10,October,4,2023,N
25-10-2023,25,Wednesday,3,43,10,October,4,2023,N
26-10-2023,26,Thursday,4,43,10,October,4,2023,N
27-10-2023,27,Friday,5,43,10,October,4,2023,N
28-10-2023,28,Saturday,6,43,10,October,4,2023,Y
29-10-2023,29,Sunday,7,43,10,October,4,2023,Y
30-10-2023,30,Monday,1,44,10,October,4,2023,N
31-10-2023,31,Tuesday,2,44,10,October,4,2023,N
01-11-2023,1,Wednesday,3,44,11,November,4,2023,N
02-11-2023,2,Thursday,4,44,11,November,4,2023,N
03-11-2023,3,Friday,5,44,11,November,4,2023,N
04-11-2023,4,Saturday,6,44,11,November,4,2023,Y
05-11-2023,5,Sunday,7,44,11,November,4,2023,Y
06-11-2023,6,Monday,1,45,11,November,4,2023,N
07-11-2023,7,Tuesday,2,45,11,November,4,2023,N
08-11-2023,8,Wednesday,3,45,11,November,4,2023,N
09-11-2023,9,Thursday,4,45,11,November,4,2023,N
10-11-2023,10,Friday,5,45,11,November,4,2023,N
11-11-2023,11,Saturday,6,45,11,November,4,2023,Y
12-11-2023,12,Sunday,7,45,11,November,4,2023,Y
13-11-2023,13,Monday,1,46,11,November,4,2023,N
14-11-2023,14,Tuesday,2,46,11,November,4,2023,N
15-11-2023,15,Wednesday,3,46,11,November,4,2023,N
16-11-2023,16,Thursday,4,46,11,November,4,2023,N
17-11-2023,17,Friday,5,46,11,November,4,2023,N
18-11-2023,18,Saturday,6,46,11,November,4,2023,Y
19-11-2023,19,Sunday,7,46,11,November,4,2023,Y
20-11-2023,20,Monday,1,47,11,November,4,2023,N
21-11-2023,21,Tuesday,2,47,11,November,4,2023,N
22-11-2023,22,Wednesday,3,47,11,November,4,2023,N
23-11-2023,23,Thursday,4,47,11,November,4,2023,N
24-11-2023,24,Friday,5,47,11,November,4,2023,N
25-11-2023,25,Saturday,6,47,11,November,4,2023,Y
26-11-2023,26,Sunday,7,47,11,November,4,2023,Y
27-11-2023,27,Monday,1,48,11,November,4,2023,N
28-11-2023,28,Tuesday,2,48,11,November,4,2023,N
29-11-2023,29,Wednesday,3,48,11,November,4,2023,N
30-11-2023,30,Thursday,4,48,11,November,4,2023,N
01-12-2023,1,Friday,5,48,12,December,4,2023,N
02-12-2023,2,Saturday,6,48,12,December,4,2023,Y
03-12-2023,3,Sunday,7,48,12,December,4,2023,Y
04-12-2023,4,Monday,1,49,12,December,4,2023,N
05-12-2023,5,Tuesday,2,49,12,December,4,2023,N
06-12-2023,6,Wednesday,3,49,12,December,4,2023,N
07-12-2023,7,Thursday,4,49,12,December,4,2023,N
08-12-2023,8,Friday,5,49,12,December,4,2023,N
09-12-2023,9,Saturday,6,49,12,December,4,2023,Y
10-12-2023,10,Sunday,7,49,12,December,4,2023,Y
11-12-2023,11,Monday,1,50,12,December,4,2023,N
12-12-2023,12,Tuesday,2,50,12,December,4,2023,N
13-12-2023,13,Wednesday,3,50,12,December,4,2023,N
14-12-2023,14,Thursday,4,50,12,December,4,2023,N
15-12-2023,15,Friday,5,50,12,December,4,2023,N
16-12-2023,16,Saturday,6,50,12,December,4,2023,Y
17-12-2023,17,Sunday,7,50,12,December,4,2023,Y
18-12-2023,18,Monday,1,51,12,December,4,2023,N
19-12-2023,19,Tuesday,2,51,12,December,4,2023,N
20-12-2023,20,Wednesday,3,51,12,December,4,2023,N
21-12-2023,21,Thursday,4,51,12,December,4,2023,N
22-12-2023,22,Friday,5,51,12,December,4,2023,N
23-12-2023,23,Saturday,6,51,12,December,4,2023,Y
24-12-2023,24,Sunday,7,51,12,December,4,2023,Y
25-12-2023,25,Monday,1,52,12,December,4,2023,N
26-12-2023,26,Tuesday,2,52,12,December,4,2023,N
27-12-2023,27,Wednesday,3,52,12,December,4,2023,N
28-12-2023,28,Thursday,4,52,12,December,4,2023,N
29-12-2023,29,Friday,5,52,12,December,4,2023,N
30-12-2023,30,Saturday,6,52,12,December,4,2023,Y
31-12-2023,31,Sunday,7,52,12,December,4,2023,Y
01-01-2024,1,Monday,1,1,1,January,1,2024,N
02-01-2024,2,Tuesday,2,1,1,January,1,2024,N
03-01-2024,3,Wednesday,3,1,1,January,1,2024,N
04-01-2024,4,Thursday,4,1,1,January,1,2024,N
05-01-2024,5,Friday,5,1,1,January,1,2024,N
06-01-2024,6,Saturday,6,1,1,January,1,2024,Y
07-01-2024,7,Sunday,7,1,1,January,1,2024,Y
08-01-2024,8,Monday,1,2,1,January,1,2024,N
09-01-2024,9,Tuesday,2,2,1,January,1,2024,N
10-01-2024,10,Wednesday,3,2,1,January,1,2024,N
11-01-2024,11,Thursday,4,2,1,January,1,2024,N
12-01-2024,12,Friday,5,2,1,January,1,2024,N
13-01-2024,13,Saturday,6,2,1,January,1,2024,Y
14-01-2024,14,Sunday,7,2,1,January,1,2024,Y
15-01-2024,15,Monday,1,3,1,January,1,2024,N
16-01-2024,16,Tuesday,2,3,1,January,1,2024,N
17-01-2024,17,Wednesday,3,3,1,January,1,2024,N
18-01-2024,18,Thursday,4,3,1,January,1,2024,N
19-01-2024,19,Friday,5,3,1,January,1,2024,N
20-01-2024,20,Saturday,6,3,1,January,1,2024,Y
21-01-2024,21,Sunday,7,3,1,January,1,2024,Y
22-01-2024,22,Monday,1,4,1,January,1,2024,N
23-01-2024,23,Tuesday,2,4,1,January,1,2024,N
24-01-2024,24,Wednesday,3,4,1,January,1,2024,N
25-01-2024,25,Thursday,4,4,1,January,1,2024,N
26-01-2024,26,Friday,5,4,1,January,1,2024,N
27-01-2024,27,Saturday,6,4,1,January,1,2024,Y
28-01-2024,28,Sunday,7,4,1,January,1,2024,Y
29-01-2024,29,Monday,1,5,1,January,1,2024,N
30-01-2024,30,Tuesday,2,5,1,January,1,2024,N
31-01-2024,31,Wednesday,3,5,1,January,1,2024,N
01-02-2024,1,Thursday,4,5,2,February,1,2024,N
02-02-2024,2,Friday,5,5,2,February,1,2024,N
03-02-2024,3,Saturday,6,5,2,February,1,2024,Y
04-02-2024,4,Sunday,7,5,2,February,1,2024,Y
05-02-2024,5,Monday,1,6,2,February,1,2024,N
06-02-2024,6,Tuesday,2,6,2,February,1,2024,N
07-02-2024,7,Wednesday,3,6,2,February,1,2024,N
08-02-2024,8,Thursday,4,6,2,February,1,2024,N
09-02-2024,9,Friday,5,6,2,February,1,2024,N
10-02-2024,10,Saturday,6,6,2,February,1,2024,Y
11-02-2024,11,Sunday,7,6,2,February,1,2024,Y
12-02-2024,12,Monday,1,7,2,February,1,2024,N
13-02-2024,13,Tuesday,2,7,2,February,1,2024,N
14-02-2024,14,Wednesday,3,7,2,February,1,2024,N
15-02-2024,15,Thursday,4,7,2,February,1,2024,N
16-02-2024,16,Friday,5,7,2,February,1,2024,N
17-02-2024,17,Saturday,6,7,2,February,1,2024,Y
18-02-2024,18,Sunday,7,7,2,February,1,2024,Y
19-02-2024,19,Monday,1,8,2,February,1,2024,N
20-02-2024,20,Tuesday,2,8,2,February,1,2024,N
21-02-2024,21,Wednesday,3,8,2,February,1,2024,N
22-02-2024,22,Thursday,4,8,2,February,1,2024,N
23-02-2024,23,Friday,5,8,2,February,1,2024,N
24-02-2024,24,Saturday,6,8,2,February,1,2024,Y
25-02-2024,25,Sunday,7,8,2,February,1,2024,Y
26-02-2024,26,Monday,1,9,2,February,1,2024,N
27-02-2024,27,Tuesday,2,9,2,February,1,2024,N
28-02-2024,28,Wednesday,3,9,2,February,1,2024,N
29-02-2024,29,Thursday,4,9,2,February,1,2024,N
01-03-2024,1,Friday,5,9,3,March,1,2024,N
02-03-2024,2,Saturday,6,9,3,March,1,2024,Y
03-03-2024,3,Sunday,7,9,3,March,1,2024,Y
04-03-2024,4,Monday,1,10,3,March,1,2024,N
05-03-2024,5,Tuesday,2,10,3,March,1,2024,N
06-03-2024,6,Wednesday,3,10,3,March,1,2024,N
07-03-2024,7,Thursday,4,10,3,March,1,2024,N
08-03-2024,8,Friday,5,10,3,March,1,2024,N
09-03-2024,9,Saturday,6,10,3,March,1,2024,Y
10-03-2024,10,Sunday,7,10,3,March,1,2024,Y
11-03-2024,11,Monday,1,11,3,March,1,2024,N
12-03-2024,12,Tuesday,2,11,3,March,1,2024,N
13-03-2024,13,Wednesday,3,11,3,March,1,2024,N
14-03-2024,14,Thursday,4,11,3,March,1,2024,N
15-03-2024,15,Friday,5,11,3,March,1,2024,N
16-03-2024,16,Saturday,6,11,3,March,1,2024,Y
17-03-2024,17,Sunday,7,11,3,March,1,2024,Y
18-03-2024,18,Monday,1,12,3,March,1,2024,N
19-03-2024,19,Tuesday,2,12,3,March,1,2024,N
20-03-2024,20,Wednesday,3,12,3,March,1,2024,N
21-03-2024,21,Thursday,4,12,3,March,1,2024,N
22-03-2024,22,Friday,5,12,3,March,1,2024,N
23-03-2024,23,Saturday,6,12,3,March,1,2024,Y
24-03-2024,24,Sunday,7,12,3,March,1,2024,Y
25-03-2024,25,Monday,1,13,3,March,1,2024,N
26-03-2024,26,Tuesday,2,13,3,March,1,2024,N
27-03-2024,27,Wednesday,3,13,3,March,1,2024,N
28-03-2024,28,Thursday,4,13,3,March,1,2024,N
29-03-2024,29,Friday,5,13,3,March,1,2024,N
30-03-2024,30,Saturday,6,13,3,March,1,2024,Y
31-03-2024,31,Sunday,7,13,3,March,1,2024,Y
01-04-2024,1,Monday,1,14,4,April,2,2024,N
02-04-2024,2,Tuesday,2,14,4,April,2,2024,N
03-04-2024,3,Wednesday,3,14,4,April,2,2024,N
04-04-2024,4,Thursday,4,14,4,April,2,2024,N
05-04-2024,5,Friday,5,14,4,April,2,2024,N
06-04-2024,6,Saturday,6,14,4,April,2,2024,Y
07-04-2024,7,Sunday,7,14,4,April,2,2024,Y
08-04-2024,8,Monday,1,15,4,April,2,2024,N
09-04-2024,9,Tuesday,2,15,4,April,2,2024,N
10-04-2024,10,Wednesday,3,15,4,April,2,2024,N
11-04-2024,11,Thursday,4,15,4,April,2,2024,N
12-04-2024,12,Friday,5,15,4,April,2,2024,N
13-04-2024,13,Saturday,6,15,4,April,2,2024,Y
14-04-2024,14,Sunday,7,15,4,April,2,2024,Y
15-04-2024,15,Monday,1,16,4,April,2,2024,N
16-04-2024,16,Tuesday,2,16,4,April,2,2024,N
